category;title;fnacUrl;descSub;price;imgLink;review;reviewNumber
"Smartphones & Objets connectés";"Smartphone Samsung Galaxy S21 6,2" 256 Go 5G Double SIM Rose";"https://www.fnac.com/Smartphone-Samsung-Galaxy-S21-6-2-256-Go-5G-Double-SIM-Rose/a15584904/w-4";"Smartphone - Samsung fnac+ 5 ( 1 ) 5 Labo Fnac";909;"https://static.fnac-static.com/multimedia/Images/FR/MDM/68/59/f6/16144744/1545-1/tsp20210216100846/Smartphone-Samsung-Galaxy-S21-6-2-256-Go-5G-Double-SIM-Rose.jpg";"5";1
"Smartphones & Objets connectés";"Apple iPhone 12 6,1" 128 Go Double SIM 5G (PRODUCT) RED";"https://www.fnac.com/Apple-iPhone-12-6-1-128-Go-Double-SIM-5G-PRODUCT-RED/a13745981/w-4";"Smartphone - Apple fnac+ 5 ( 10 ) 5 Labo Fnac";899;"https://static.fnac-static.com/multimedia/Images/FR/MDM/50/b2/bd/12431952/1545-1/tsp20210518180957/Apple-iPhone-12-6-1-128-Go-Double-SIM-5G-PRODUCT-RED.jpg";"5";10
"Smartphones & Objets connectés";"Pack Smartphone Xiaomi Mi 10T Pro 6,67" Double SIM 256 Go 5G Gris lunaire + Imprimante Photo Portable Xiaomi Mi Blanc + Papier photo Xiaomi pour imprimante photo portable";"https://www.fnac.com/Pack-Smartphone-Xiaomi-Mi-10T-Pro-6-67-Double-SIM-256-Go-5G-Gris-lunaire-Imprimante-Photo-Portable-Xiaomi-Mi-Blanc-Papier-photo-Xiaomi-pour-imprimante-photo-portable/a15749480/w-4";"Smartphone - Xiaomi fnac+ 5 ( 5 ) 5 Labo Fnac";519;"https://static.fnac-static.com/multimedia/Images/FR/MDM/b1/3f/f9/16334769/1545-1/tsp20210603103415/Pack-Smartphone-Xiaomi-Mi-10T-Pro-6-67-Double-SIM-256-Go-5G-Gris-lunaire-Imprimante-Photo-Portable-Xiaomi-Mi-Blanc-Papier-photo-Xiaomi-pour-imprimante-photo-portable.jpg";"5";5
"Smartphones & Objets connectés";"Apple iPhone 12 mini 5,4" 128 Go Double SIM 5G Mauve";"https://www.fnac.com/Apple-iPhone-12-mini-5-4-128-Go-Double-SIM-5G-Mauve/a13618477/w-4";"Smartphone - Apple 5 ( 2 ) 5 Labo Fnac";799;"https://static.fnac-static.com/multimedia/Images/FR/MDM/a4/53/b8/12080036/1545-1/tsp20210423180714/Apple-iPhone-12-mini-5-4-128-Go-Double-SIM-5G-Mauve.jpg";"5";2
"Smartphones & Objets connectés";"Apple iPhone 12 6,1" 128 Go Double SIM 5G Mauve";"https://www.fnac.com/Apple-iPhone-12-6-1-128-Go-Double-SIM-5G-Mauve/a13618425/w-4";"Smartphone - Apple 5 ( 7 ) 5 Labo Fnac";899;"https://static.fnac-static.com/multimedia/Images/FR/MDM/71/53/b8/12079985/1545-1/tsp20210423180714/Apple-iPhone-12-6-1-128-Go-Double-SIM-5G-Mauve.jpg";"5";7
"Smartphones & Objets connectés";"Smartphone Oppo Find X3 Pro 6.7" Double SIM 256 Go 5G Noir";"https://www.fnac.com/Smartphone-Oppo-Find-X3-Pro-6-7-Double-SIM-256-Go-5G-Noir/a15753413/w-4";"Smartphone - OPPO fnac+ 5 ( 4 )";1149;"https://static.fnac-static.com/multimedia/Images/FR/MDM/85/7f/f9/16351109/1545-1/tsp20210603103415/Smartphone-Oppo-Find-X3-Pro-6-7-Double-SIM-256-Go-5G-Noir.jpg";"5";4
"Smartphones & Objets connectés";"Pack Smartphone Xiaomi Redmi Note 9T 6.53" Double SIM 128 Go 5G Noir + Coque transparente + Bracelet connecté Xiaomi Mi Smart Band 4 Noir";"https://www.fnac.com/Pack-Smartphone-Xiaomi-Redmi-Note-9T-6-53-Double-SIM-128-Go-5G-Noir-Coque-transparente-Bracelet-connecte-Xiaomi-Mi-Smart-Band-4-Noir/a15831293/w-4";"Smartphone - Xiaomi fnac+ 5 ( 1 )";239;"https://static.fnac-static.com/multimedia/Images/FR/MDM/8f/5b/fd/16604047/1545-1/tsp20210526170929/Pack-Smartphone-Xiaomi-Redmi-Note-9T-6-53-Double-SIM-128-Go-5G-Noir-Coque-transparente-Bracelet-connecte-Xiaomi-Mi-Smart-Band-4-Noir.jpg";"5";1
"Smartphones & Objets connectés";"Apple iPhone 12 6,1" 256 Go Double SIM 5G (PRODUCT) RED";"https://www.fnac.com/Apple-iPhone-12-6-1-256-Go-Double-SIM-5G-PRODUCT-RED/a13746045/w-4";"Smartphone - Apple fnac+ 5 ( 4 ) 5 Labo Fnac";1019;"https://static.fnac-static.com/multimedia/Images/FR/MDM/93/b2/bd/12432019/1545-1/tsp20210518180957/Apple-iPhone-12-6-1-256-Go-Double-SIM-5G-PRODUCT-RED.jpg";"5";4
"Smartphones & Objets connectés";"Apple iPhone 12 6,1" 64 Go Double SIM 5G Vert";"https://www.fnac.com/Apple-iPhone-12-6-1-64-Go-Double-SIM-5G-Vert/a13745985/w-4";"Smartphone - Apple 5 ( 7 ) 5 Labo Fnac";849;"https://static.fnac-static.com/multimedia/Images/FR/MDM/4f/b2/bd/12431951/1545-1/tsp20210518180957/Apple-iPhone-12-6-1-64-Go-Double-SIM-5G-Vert.jpg";"5";7
"Smartphones & Objets connectés";"Smartphone Xiaomi Mi 10T Pro 6.67" Double SIM 5G 256 Go Bleu Exclusivité";"https://www.fnac.com/Smartphone-Xiaomi-Mi-10T-Pro-6-67-Double-SIM-5G-256-Go-Bleu-Exclusivite/a15179168/w-4";"Smartphone - Xiaomi fnac+ 5 ( 25 ) 5 Labo Fnac";519;"https://static.fnac-static.com/multimedia/Images/FR/MDM/0e/74/ef/15692814/1545-1/tsp20210305181437/Smartphone-Xiaomi-Mi-10T-Pro-6-67-Double-SIM-5G-256-Go-Bleu-Exclusivite.jpg";"5";25
